bor;an;fi;rs;rscom;fi_ej;grp;stj;stjr;cat;catr;espic;mft;ccr;nat;sir;reg;dep;reg_diff;dep_diff;TSANT;COMINSEE;NOMCOM;ARMT;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3;VAL;RESPREG
ID;2016;010007300;CLINIQUE AMBULATOIRE CENDANEG;;010007292;09;72;2;128;PLU4;0;4;5;0;42111199800033;84;01;84;01;82S0000002;01313;PREVESSIN-MOENS;;0;;6;;2;1;180;RTE;DU NANT;;01280;PREVESSIN MOENS;CENTRE MEDICAL EUROPA;0;;;;;;;;;;;;;;;;;;42111199800033;;;;0;;;;;;;;;;P;184
ID;2016;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;;010783009;09;61;3;109;PNL8;6;1;1;0;77554456200017;84;01;84;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;;1;1;900;RTE;DE PARIS;BP 401 - VIRIAT;01012;BOURG EN BRESSE CEDEX;SITE DU CH FLEYRIAT;1;775544562;ASSOCIATION ORSAC;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010009314;SSR HÔTEL DIEU;;010780054;04;13;1;355;PUB2;1;0;;0;26010004500012;84;01;84;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;010780054;2;1;47;BD;DE BROU;;01000;BOURG EN BRESSE;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010009702;USLD RESIDENCE EMILE PELICAND;;010780054;04;13;1;362;PUB9;1;0;;0;26010004500012;84;01;84;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;6;010780054;2;1;10;AV;LOUIS JOURDAN;;01002;BOURG EN BRESSE CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010780195;CLINIQUE CONVERT;;010000156;09;73;2;365;PLU4;0;4;5;0;77220148900022;84;01;84;01;82S0000003;01053;BOURG-EN-BRESSE;;;;6;;2;1;62;AV;DE JASSERON;BP 132;01000;BOURG EN BRESSE;;;;;010002363;SCM IRM DE L AIN;010009850;LABORATOIRE BIOPTEAM;010780952;SC LOUIS BALLY ET ASS;690031653;SELARL DUPIN GONNON MEHIER;011701455;CENTRE CINESE;;;;;772201489;;;;;0;;;;;;;;;;P;184
ID;2016;010780203;HOPITAL PRIVE D'AMBERIEU;;010010718;09;95;2;365;PLU4;0;4;5;0;81157144700010;84;01;84;01;82S0000003;01004;AMBERIEU-EN-BUGEY;;0;;6;;2;1;;;EN PRAGNAT NORD;BP 611;01506;AMBERIEU EN BUGEY CEDEX;;1;529255788;GROUPE C2S;;;;;;;;;;;;;;;811571447;;;;;0;;;;;;;;;;P;184
ID;2016;010780252;CRF L'ORCET;;010783009;09;61;3;109;PNL8;6;1;1;0;77554456200017;84;01;84;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;;;6;;1;1;180;R;DU DOCTEUR DELANNOY;BP 5;01110;HAUTEVILLE LOMPNES;;1;775544562;ASSOCIATION ORSAC;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010780278;CTRE DE RÉÉDUCATION MANGINI;;010783009;09;61;3;109;PNL8;6;1;1;0;77554456200017;84;01;84;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;1436;AV;FELIX MANGINI;BP 27;01110;HAUTEVILLE LOMPNES;;1;775544562;ASSOCIATION ORSAC;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010780294;NEPHROCARE CH BELLEY;;690000278;07;95;2;141;PLU5;0;4;5;0;30096471500043;84;01;84;01;82S0000002;01034;BELLEY;;0;;6;690000278;1;1;54;R;GEORGES GIRERD;;01300;BELLEY;;1;300964715;NEPHROCARE RHONE-ALPES;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;;010000222;09;73;2;109;PLU8;0;4;5;0;54612012200017;84;01;84;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;135;R;DES VILLAS;;01110;HAUTEVILLE LOMPNES;;0;;;;;;;;;;;;;;;;;546120122;54612012200017;;;0;0;;;;;;;;;;P;184
ID;2016;010780328;CENTRE MEDICAL LE MODERN;;010000222;09;73;2;109;PLU8;0;4;5;0;54612012200025;84;01;84;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;311;R;DE LA CHAPELLE;;01110;HAUTEVILLE LOMPNES;;0;;;;;;;;;;;;;;;;;546120122;54612012200025;;;0;0;;;;;;;;;;P;184
ID;2016;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;;750005068;09;47;3;109;PNL8;6;1;1;0;44192191300204;84;01;84;01;82S0000002;01082;CHANAY;;0;;6;;1;1;7;R;DU CHÂTEAU;;01420;CHANAY;;1;441921913;MGEN Action sanitaire et sociale;;;;;;;;;;;;;;;441921913;44192191300204;;;0;0;;;;;;;;;;P;184
ID;2016;010780492;CRF ROMANS-FERRARI;;360000707;09;61;3;109;PNL8;6;1;1;0;77936703600059;84;01;84;01;82S0000001;01249;MIRIBEL;;0;;6;;1;1;;R;DE LA CHANAL;BP 10118;01700;MIRIBEL;;0;;;;;;;;;;;;;;;;;779367036;77936703600059;;;0;0;;;;;;;;;;P;184
ID;2016;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;;310021381;09;75;2;109;PLU8;0;4;5;0;76620020800011;84;01;84;01;82S0000003;01194;JASSANS-RIOTTIER;;0;;6;;1;1;315;R;EDOUARD HERRIOT;;01480;JASSANS RIOTTIER;CHATEAU DE GLETEINS;1;447800475;groupe KORIAN;;;;;;;;;;;;;;;766200208;76620020800011;;;;0;;;;;;;;;;P;184
ID;2016;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;CROIX-ROUGE FRANCAISE - Centre SSR - SOINS DE SUITE POLYVALENTS;750721334;09;61;3;109;PNL8;6;1;0;0;77567227205586;84;01;84;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;;R;DU 11 NOVEMBRE 1918;BP 39;01110;HAUTEVILLE LOMPNES;CHATEAU D'ANGEVILLE;1;775672272;CROIX ROUGE FRANCAISE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;P;184
ID;2016;010786259;USLD CH DE NANTUA;;010008407;04;14;1;362;PUB9;1;0;;0;26011021800062;84;01;84;01;82S0000003;01269;NANTUA;;0;;6;010008407;1;2;50;R;PAUL PAINLEVÉ;BP 119;01130;NANTUA;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010789006;UNITÉ DE DIALYSE BOURG EN BRESSE;;210012290;07;61;3;146;PNL5;6;4;1;0;80535715900153;84;01;84;01;82S0000003;01451;VIRIAT;;0;;6;210012290;1;1;6;R;GAY LUSSAC;;01440;VIRIAT;;1;590799995;SANTELYS ASSOCIATION;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;010789717;USLD CH D'OYONNAX;;010008407;04;14;1;362;PUB9;1;0;;0;26011021800039;84;01;84;01;82S0000003;01283;OYONNAX;;0;;6;010008407;1;2;1;R;BELLEVUE;;01108;OYONNAX CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2016;020000089;CH GUISE;;020000022;04;13;1;355;PUB2;1;0;;0;26020865700015;32;02;32;02;22S0000002;02361;GUISE;;0;;7;020000022;1;2;858;R;DES DOCTEURS DEVILLERS;;02120;GUISE;;;;;;;;;;;;;;;;;;;260208657;26020865700015;;;;0;;;;;;;;;;A;132
ID;2016;020000097;CH LA FÈRE;CENTRE GÉRONTOLOGIQUE;020000048;04;13;1;355;PUB2;1;0;;0;26020866500018;32;02;32;02;22S0000002;02304;LA FERE;;0;;7;020000048;1;1;2;AV;DUPUIS;;02800;LA FERE;;;;;;;;;;;;;;;;;;;;26020866500018;;;0;0;;;;;;;;;;A;132
ID;2016;020000105;CH LE NOUVION-EN-THIÉRACHE;;020000055;04;13;1;355;PUB2;1;0;;0;26020009200013;32;02;32;02;22S0000002;02558;LE NOUVION-EN-THIERACHE;;0;;7;020000055;1;1;40;R;ANDRÉ RIDDERS;BP 16;02170;LE NOUVION EN THIERACHE;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;A;132
ID;2016;020000162;CH SAINT-QUENTIN;;020000063;04;13;1;355;PUB2;1;0;;0;26020861600011;32;02;32;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;020000063;2;1;1;R;MICHEL DE L'HOSPITAL;BP 608;02321;ST QUENTIN CEDEX;;;;;020015665;GCS Sterhospic;;;;;;;;;;;;;260208616;26020861600011;;;0;0;;;;;;;;;;A;132
ID;2016;020000246;CH VERVINS;;020000071;04;13;1;355;PUB2;1;0;;0;26020010000014;32;02;32;02;22S0000002;02789;VERVINS;;;;7;020000071;1;2;20;PL;DE LA LIBERTÉ;;02140;VERVINS;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020000303;LA RENAISSANCE SANITAIRE;Hôpital Villiers Saint Denis;750814030;09;63;3;365;PNL4;6;1;1;0;77566179600034;32;02;32;02;22S0000003;02818;VILLIERS-SAINT-DENIS;;0;;7;;2;1;1;R;VICTOR ET LOUISE MONTFORT;BP1;02310;VILLIERS ST DENIS;;1;775661796;Fondation LA RENAISSANCE SANITAIRE;;;;;;;;;;;;;;;775661796;77566179600034;;;0;0;;;;;;;;;;A;132
ID;2016;020000360;CLINIQUE COURLANCY SOISSONS;CLINIQUE SAINT CHRISTOPHE COURLANCY;020014742;09;95;2;128;PLU4;0;4;5;0;43991616400015;32;02;32;02;22S0000003;02722;SOISSONS;;0;;9;;2;1;30;R;DE LA VICTOIRE;;02200;SOISSONS;;1;337180160;SA POLYCLINIQUE DE COURLANCY;;SOISSONS IMAGERIE RADIOLOGIE;;;;;;;;;;;;;439916164;;;;;0;;;;;;;;;;A;132
ID;2016;020000386;CLINIQUE DE LA ROSERAIE;;020000600;15;95;2;161;PLU7;0;4;5;0;71728025900028;32;02;32;02;22S0000003;02722;SOISSONS;;0;;9;;1;1;6;ALL;OLIVIER MESSIAEN;;02200;SOISSONS;PARC GOURAUD;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;A;132
ID;2016;020000394;CH LAON;;020000253;04;13;1;355;PUB2;1;0;;0;26020871500011;32;02;32;02;22S0000003;02408;LAON;;0;;7;020000253;1;2;33;R;MARCELIN BERTHELOT;;02001;LAON CEDEX;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;A;132
ID;2016;020000519;CH SOISSONS;;020000261;04;13;1;355;PUB2;1;0;;0;26020862400015;32;02;32;02;22S0000003;02722;SOISSONS;;0;;7;020000261;1;1;46;AV;DU GÉNÉRAL DE GAULLE;;02209;SOISSONS CEDEX;;;;;;;;;;;;;;;;;;;260208624;26020862400015;;;0;0;;;;;;;;;;A;132
ID;2016;020000535;CH CHAUNY;;020000287;04;13;1;355;PUB2;1;0;;0;26020864000011;32;02;32;02;22S0000002;02173;CHAUNY;;0;;7;020000287;1;1;94;SQ;DES ANCIENS COMBATTANTS;;02303;CHAUNY CEDEX;;;;;;;;;;;;;;;;;;;260208640;;;;0;0;;;;;;;;;;A;132
ID;2016;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;;020000295;14;11;1;292;PUB3;1;0;;0;26020034000016;32;02;32;02;22S0000003;02619;PREMONTRE;;0;;7;020000295;1;1;;AV;DE L'HÔPITAL;;02320;PREMONTRE;;;;;;;;;;;;;;;;;;;260200340;26020034000016;;;0;0;;;;;;;;;;A;132
ID;2016;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;;020003620;04;12;1;355;PUB2;1;0;;0;26020035700010;32;02;32;02;22S0000002;02680;SAINT-GOBAIN;;0;;7;020003620;1;1;;RTE;DE SAINT-NICOLAS;;02410;ST GOBAIN;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020001061;CH CHÂTEAU-THIERRY;;020004404;04;13;1;355;PUB2;1;0;;0;26020863200018;32;02;32;02;22S0000003;02168;CHATEAU-THIERRY;;0;;7;020004404;1;1;;RTE;DE VERDILLY;;02400;CHATEAU THIERRY;;;;;;;;;;;;;;;;;;;;26020863200018;;;0;0;;;;;;;;;;A;132
ID;2016;020001087;CH HIRSON;BRISSET;020004495;04;13;1;355;PUB2;1;0;;0;26020007600016;32;02;32;02;22S0000002;02381;HIRSON;;0;;7;020004495;1;1;40;R;AUX LOUPS;;02500;HIRSON;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;A;132
ID;2016;020001772;UAD SANTÉLYS CHAUNY;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100286;32;02;32;02;22S0000002;02173;CHAUNY;;0;;7;590799995;1;1;45;R;PASTEUR;;02300;CHAUNY;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020001913;UAD SANTÉLYS LAON;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100401;32;02;32;02;22S0000003;02408;LAON;;0;;7;590799995;1;1;46;R;DU 13 OCTOBRE 1918;;02000;LAON;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020003877;SSR CH LAON;;020000253;04;13;1;355;PUB2;1;0;;0;26020871500102;32;02;32;02;22S0000003;02408;LAON;;;;7;020000253;1;2;38;R;MARGUERITE CLERBOUT;SEMILLY-SOUS-LAON;02000;LAON;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;SAINTE MONIQUE;590805065;15;60;3;161;PNL7;7;4;0;0;39434217400288;32;02;32;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;;1;1;4;R;PAUL DOUMER;;02100;ST QUENTIN;;1;394342174;TEMPS DE VIE (DEVELOPPEMENT DES EQUIPTS);;;;;;;;;;;;;;;394342174;;;;0;0;;;;;;;;;;A;132
ID;2016;020004297;HAD AMSAM SOISSONS;;020005179;09;61;3;127;PNL10;7;4;0;0;77554727600086;32;02;32;02;22S0000003;02722;SOISSONS;;0;;7;;1;1;31;R;ANNE MORGAN;BP 111;02203;SOISSONS CEDEX;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;A;132
ID;2016;020004677;USLD CH SOISSONS;L'ÉCLAIRCIE;020000261;04;13;1;362;PUB9;1;0;;0;26020862400031;32;02;32;02;22S0000003;02064;BELLEU;;0;;7;020000261;1;1;;R;D'OULCHY LE CHÂTEAU;;02200;BELLEU;;;;;;;;;;;;;;;;;;;260208624;26020862400015;;;0;0;;;;;;;;;;A;132
ID;2016;020005476;USLD CH LAON;LES TUILLERIES;020000253;04;13;1;362;PUB9;1;0;;0;26020871500078;32;02;32;02;22S0000003;02408;LAON;;0;;7;020000253;1;2;38;R;MARGUERITE CLERBOUT;;02000;LAON;;;;;;;;;;;;;;;;;;;260208715;;;;;0;;;;;;;;;;A;132
ID;2016;020006441;UAD SANTÉLYS COURMELLES;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100203;32;02;32;02;22S0000003;02226;COURMELLES;;0;;7;590799995;1;1;58;PL;ST GEORGES;;02200;COURMELLES;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;;020000063;14;13;1;355;PUB2;1;0;;0;26020861600094;32;02;32;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;020000063;2;1;241;R;DE FAYET;;02321;ST QUENTIN CEDEX;;;;;;;;;;;;;;;;;;;260208616;26020861600011;;;0;0;;;;;;;;;;A;132
ID;2016;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;MAISON DE SANTÉ ET CURE MÉDICALE;020002085;04;13;1;362;PUB9;1;0;;0;26020867300046;32;02;32;02;22S0000002;02095;BOHAIN-EN-VERMANDOIS;;0;;7;020002085;1;1;57;R;OLIVIER DEGUISE;;02110;BOHAIN EN VERMANDOIS;;;;;;;;;;;;;;;;;;;;26020867300012;;;;0;;;;;;;;;;A;132
ID;2016;020010047;POLYCLINIQUE SAINT CLAUDE;;020001632;09;73;2;365;PLU4;0;5;5;0;32345727500010;32;02;32;02;22S0000002;02691;SAINT-QUENTIN;;0;;9;;2;1;1;BD;DU DOCTEUR SCHWEITZER;CS 90448;02315;ST QUENTIN CEDEX;;1;498807619;ELSAN DEVELOPPEMENT MCO;;SCM IMAGERIE CZ;020003208;GIE IMAGERIE MEDICALE DU VERMANDOIS;020015087;NOVABIO DIAGNOSTIC;;;;;;;;;323457275;32345727500010;;;0;0;;;;;;;;;;A;132
ID;2016;020010310;SSR AURORE BUCY-LE-LONG;;750719361;09;61;3;109;PNL8;6;1;1;0;77568497000723;32;02;32;02;22S0000003;02131;BUCY-LE-LONG;;0;;7;;1;1;2;R;DUTOUR DE NOIRFOSSE;;02880;BUCY LE LONG;CHÂTEAU DES RUISSEAUX;;;;;;;;;;;;;;;;;;;77568497000723;;;0;0;;;;;;;;;;A;132
ID;2016;020010898;HAD CRF CHAUNY;;750721334;09;61;3;127;PNL10;6;4;3;0;77567227220908;32;02;32;02;22S0000002;02173;CHAUNY;;0;;7;;1;1;4C;R;FERDINAND BUISSON;;02300;CHAUNY;;0;;;;;;;;;;;;;;;;;775672272;;;;0;0;;;;;;;;;;A;132
ID;2016;020012613;UAD SANTÉLYS BRASLES;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100104;32;02;32;02;22S0000003;02114;BRASLES;;0;;7;590799995;1;1;5;R;DES GARATS;;02400;BRASLES;APPARTEMENT 22;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020012860;CDP&UDM SANTÉLYS ST-QUENTIN;;590799995;07;61;3;141;PNL5;6;4;0;0;77562471100294;32;02;32;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;590799995;1;1;263;R;DE FAYET;;02100;ST QUENTIN;ZAC DU BOIS DE LA CHOCQUE;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;;590805065;09;60;3;127;PNL10;7;4;x;0;39434217400023;32;02;32;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;;1;1;4;R;PAUL DOUMER;;02100;ST QUENTIN;;0;;;;;;;;;;;;;;;;;;39434217400023;;;0;0;;;;;;;;;;A;132
ID;2016;020016242;UDM SANTELYS GUISE;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100237;32;02;32;02;22S0000002;02361;GUISE;;0;;7;590799995;1;1;934;R;DES DOCTEURS DEVILLERS;;02120;GUISE;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;132
ID;2016;020016366;SMUR CH SAINT-QUENTIN GUISE;;020000063;04;13;1;355;PUB2;1;0;;0;26020861600011;32;02;32;02;22S0000002;02361;GUISE;;0;;7;020000063;2;1;858;R;DES DOCTEURS DEVILLERS;;02120;GUISE;;;;;;;;;;;;;;;;;;;260208616;26020861600011;;;0;0;;;;;;;;;;A;132
ID;2016;030000012;CH DE NERIS LES BAINS;;030180020;04;13;1;355;PUB2;1;0;;0;26030498500013;84;03;84;03;83S0000001;03195;NERIS-LES-BAINS;;0;;6;030180020;1;1;16;R;VOLTAIRE;;03310;NERIS LES BAINS;;;;;030785216;EHPAD LES HIRONDELLES;030784177;HEBERGEMENT TEMPORAIRE ET EHPAD PAVILLON CUVELIER;030785224;SERVICE DE SOINS A DOMICILE;;;;;;;;;;26030498500013;;;0;0;;;;;;;;;;P;184
ID;2016;030000061;CENTRE HOSPITALIER MOULINS YZEURE;;030780092;04;13;1;355;PUB2;1;0;;0;26030383900013;84;03;84;03;83S0000001;03190;MOULINS;;0;;6;030780092;2;1;10;AV;GAL DE GAULLE;BP 609;03006;MOULINS CEDEX;;;;;;;;;;;;;;;;;;;260303839;26030383900013;;;0;0;;;;;;;;;;P;184
ID;2016;030000079;CENTRE HOSPITALIER DE MONTLUCON;;030780100;04;13;1;355;PUB2;1;0;;0;26030017300010;84;03;84;03;83S0000001;03185;MONTLUCON;;0;;6;030780100;1;1;18;AV;DU 8 MAI 1945;;03109;MONTLUCON CEDEX;;;;;;;;;;;;;;;;;;;260300173;26030017300010;;;0;0;;;;;;;;;;P;184
